,purchase,HURRICANE,HOLIDAYS,NEWYEARSDAY,DAYAFTERNEWYEARS,BIRTHDAYOFMARTINLUTHERKINGJR,VALENTINESDAY,WASHINGTONSBIRTHDAY,EASTER,MEMORIALDAY,INDEPENDENCEDAY,LABORDAY,COLUMBUSDAY,VETERANSDAY,THANKSGIVING,CHRISTMASDAY,DAYAFTERCHRISTMAS,NEWYEARSEVE,FIRST_OF_MONTH,FIFTEENTH_OF_MONTH,MON,TUE,WED,THU,FRI,SAT,SUN,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC ,devils_vader_pe,giants_vader_pe,knicks_vader_pe,mets_vader_pe,yankees_vader_pe,devils_pysent_pe,giants_pysent_pe,knicks_pysent_pe,mets_pysent_pe,yankees_pysent_pe,devils_mean_no_neg_pysent,giants_mean_no_neg_pysent,knicks_mean_no_neg_pysent,mets_mean_no_neg_pysent,yankees_mean_no_neg_pysent,devils_mean_roberta,giants_mean_roberta,knicks_mean_roberta,mets_mean_roberta,yankees_mean_roberta,devils_mean_distilbert,giants_mean_distilbert,knicks_mean_distilbert,mets_mean_distilbert,yankees_mean_distilbert,devils_mean_no_neg_pysent.1,giants_mean_no_neg_pysent.1,knicks_mean_no_neg_pysent.1,mets_mean_no_neg_pysent.1,yankees_mean_no_neg_pysent.1,log_purchase,sum_vader,sum_pysent,sum_roberta,sum_distilbert,sum_no_neg_pysent,next_day_purchase,next_day_log_purchase,sum_pe,knicks_pe,mets_pe,yankees_pe,giants_pe,devils_pe,norm_sum_vader,norm_sum_pysent,norm_sum_roberta,norm_sum_distilbert,norm_sum_no_neg_pysent
2012-01-02,0.7271226630213357,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0980153846153846,0.09578730964467,0.0200770491803277,0.068680855986119,-0.2663446648464924,0.0391322242525907,0.0240321620769307,-0.1532846890512059,0.0398066087979812,-0.3309123369022326,0.0157511491651346,0.068647206088022,-0.0999512836044909,0.1527479967015704,-0.1831449713583005,0.1562824933386694,0.2132388742848625,0.1685408706909843,0.1869938867831868,0.2249498085227597,0.0022455500630502,0.0153368372414148,0.0025290700677681,0.0166136138243497,0.0101411431832586,0.0157511491651346,0.068647206088022,-0.0999512836044909,0.1527479967015704,-0.1831449713583005,-0.31866009075488333,0.016215934580008917,-0.47312583684206466,0.9500059336204627,0.046866214379841405,-0.0918998060161288,0.8179667680866194,-0.20093356901561935,-1.0,-0.5,0.0,0.0,0.0,-0.5,0.10922080438095026,-0.6908673201421336,-0.8738392103687379,-0.21585388345273898,-0.19727787056694898
2012-01-04,0.532015060962385,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0622229957264957,-0.0519278807342357,-0.0949039390483158,0.0294106383059317,-0.1173395352339548,0.0232591866592311,-0.1913967408643824,-0.1095214265801406,0.0329695127943802,-0.1635650586406958,-0.0865075926145096,-0.0562939513827773,-0.1652262227800426,-0.0598930784554195,-0.1342354064213372,0.1848440473452986,0.2134256269695031,0.1615936269517987,0.2645712517286566,0.206151033624472,0.0143009695663446,0.0079536669369582,0.0028696286565664,0.0265139977330791,0.0189417065048473,-0.0865075926145096,-0.0562939513827773,-0.1652262227800426,-0.0598930784554195,-0.1342354064213372,-0.6310834799615442,-0.2969837124370703,-1.4125670299397797,1.030585586619729,0.0705799693977956,-1.0043125033081723,0.717249036731193,-0.3323321671244326,-0.9,-0.45,0.0,0.0,0.0,-0.45,-1.3626874625068133,-2.141758961662243,0.010181786949929146,0.763228801202139,-2.487178075079542
2012-01-06,0.8679906130734345,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0707093244419306,0.0450463065626703,0.0109922323626855,0.0114134542386522,-0.110003938344894,0.1546628389072434,0.0445390734147486,-0.1503432813448084,0.0152448439505194,-0.1050588780118225,0.0083711166982984,0.0280825350966928,-0.0568904267771986,-0.0076950501368984,-0.0809166751066348,0.2170220625337998,0.2470599761537659,0.2411848076468182,0.1932594722403615,0.18372319899375,0.0031075565890276,0.0084401556527209,0.00300433466642,0.0035818637992651,0.0171434349257797,0.0083711166982984,0.0280825350966928,-0.0568904267771986,-0.0076950501368984,-0.0809166751066348,-0.14157437881179033,0.028157379261044613,-0.25905240353560066,1.0822495175684954,0.0352773456332133,-0.2180970004514812,0.497132722698283,-0.6988982408537319,1.19,0.595,0.0,0.0,0.0,0.595,0.16534063501294607,-0.3602480569696332,0.5769749917202072,-0.6943298024276549,-0.5139974670873523
2012-01-07,0.497132722698283,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0622953631278981,-0.0452263546529978,0.0075187148321227,-0.0478036084813711,-0.0428494501315011,0.198429091706286,-0.0627936451428887,-0.1070136646076972,-0.0382158705644934,0.030194090520213,0.0492740694811509,-0.0753022226813667,0.0419190043706655,0.054823914116963,0.1398512334212926,0.2140805696010889,0.2403612529160455,0.1594057226260365,0.2541422928381155,0.1448448256006219,0.0109094540061617,0.0032533788609651,0.0036427778785797,0.0106422672655635,0.004389879121983,0.0492740694811509,-0.0753022226813667,0.0419190043706655,0.054823914116963,0.1398512334212926,-0.6988982408537319,-0.0660653353058492,0.44173199932883034,1.0128346635819083,0.032837757133253,0.4211319974174106,0.6931662972845691,-0.3664853413581618,1.071,0.5355,0.0,0.0,0.0,0.5355,-0.27746699207245196,0.7220572965682399,-0.18455954169992356,-0.7950544180014376,1.0902882002369745
2012-01-09,0.6396286942096904,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2646883790489148,0.0431462247489831,0.1720537797036746,-0.0472947638606169,-0.0477792816485094,0.1201648024833798,-0.071380525829067,0.2071711393547028,-0.1167253698539043,-0.0886533188002236,0.05450434566205,0.0118803047598985,0.0686665993686221,-0.0524872484985445,-0.0883733680560436,0.2128760757838824,0.2470309275732464,0.2057671932009819,0.2433326995120997,0.2244259002595208,0.0426756036413953,0.0174346183177393,0.0025464608504613,0.0271721977681052,0.0166038085714535,0.05450434566205,0.0118803047598985,0.0686665993686221,-0.0524872484985445,-0.0883733680560436,-0.4468674362867857,0.38481433799244613,0.03895799382685272,1.1334327963297313,0.1064326891491546,-0.011618733528034997,0.7088892173184335,-0.3440560166777628,0.48195,0.48195,0.0,0.0,0.0,0.0,1.841480218820238,0.10000512097920342,1.1384950709511141,2.243499516648195,0.004205125948315944
2012-01-10,0.7088892173184335,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1296115059902254,-0.0581035736053121,0.0004349423339745,-0.0437667856486556,-0.0694988129431179,0.0085631258610658,-0.0233310597790502,0.0058609046210457,-0.0709303078990539,-0.1279113490610823,-0.0993153549101411,0.0001749386620831,0.040350813783939,-0.0403211809717017,-0.0903308967150567,0.1516134701471902,0.2783317924325059,0.227571739913753,0.2242469361327453,0.1968369779365791,0.0028754843527675,0.0068551813134976,0.030369310116399,0.0033579593733181,0.0172937943599331,-0.0993153549101411,0.0001749386620831,0.040350813783939,-0.0403211809717017,-0.0903308967150567,-0.3440560166777628,-0.04132272387288571,-0.5866320465588296,1.0786009165627735,0.0607517295159153,-0.37888336030175473,0.6374002824809857,-0.45035743382205273,-0.51805,0.0,0.0,0.0,0.0,-0.51805,-0.1611869941240996,-0.8661685653383864,0.5369470221293531,0.3574449225334938,-0.9175261766249495
2012-01-11,0.6374002824809857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0488422828556726,0.0090884902675788,0.1294320010959687,0.053364229599627,-0.0471496029083009,-0.1649233996620445,-0.0261876992183073,0.0507705375116701,0.0542229604951711,-0.0571126928533029,-0.0803535711084157,-0.0005428004421798,-0.0536566453492027,-0.0362709615538883,-0.0395932117791698,0.1893560659111538,0.2399521638957355,0.2030570169445127,0.2377261614031158,0.2128200337558595,0.0131332672073142,0.0126679042372819,0.0033720217595275,0.0111933834844239,0.0174457389017523,-0.0803535711084157,-0.0005428004421798,-0.0536566453492027,-0.0362709615538883,-0.0395932117791698,-0.45035743382205273,0.095892835199201,-0.5640646741925261,1.0829114419103774,0.0578123155902998,-0.4208343804657126,0.6675204076619139,-0.40418531589881007,0.96751,0.433755,0.0,0.0,0.0,0.533755,0.48366914689453017,-0.8313150671333785,0.5842368127268738,0.23608374310726551,-1.022811482208779
2012-01-12,0.6675204076619139,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0718808040157532,-0.0770462812493872,0.0263207337594812,0.0412443419931997,-0.0418163967152705,0.0598234529067925,-0.097073167242614,0.0541877946804811,0.0422343313356707,-0.0511397983315188,0.0854972315948638,-0.0694458513486136,-0.022149302216631,8.482703867963848e-05,-0.0884995968874569,0.1763994030316825,0.2248895519391671,0.209089706958655,0.2191594654389638,0.2197670512250624,0.0074974070020834,0.0172926454880715,0.0111707219746141,0.016919710384889,0.0265770202819702,0.0854972315948638,-0.0694458513486136,-0.022149302216631,8.482703867963848e-05,-0.0884995968874569,-0.40418531589881007,0.020583201803776395,-0.1809927702895046,1.0493051785935308,0.0794575051316282,-0.1890253836383161,0.8219972693064038,-0.1960182059431492,-0.6096205,-0.6096205,0.0,0.0,0.0,0.0,0.1297451465747995,-0.23969120865490767,0.2155501615969302,1.1297604412911788,-0.4410358549971706
2012-01-14,0.6535947210421007,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0338493304390139,0.0420536021321748,0.0445188694131631,0.0211036087270735,-0.1152574183376239,0.0511933054971021,-0.0493295379822525,0.003485070347763,0.074771548333985,-0.1192701570093744,0.0741663351186637,-0.0007826761107845,-0.1296315442601176,0.042420084264365,-0.0990695809626088,0.2211138020011002,0.2030368085541682,0.1716346074730002,0.2192126093528702,0.2295954461488872,0.0094970217614899,0.0071654355350002,0.0060979547724854,0.0084266745109332,0.009837957847485,0.0741663351186637,-0.0007826761107845,-0.1296315442601176,0.042420084264365,-0.0990695809626088,-0.425267812209933,0.026267992373801397,-0.26494453471374124,1.044593273530026,0.0410250444273937,-0.22579476390096442,0.47641130808806115,-0.7414737052418489,-0.06827895,-0.54865845,0.0,0.0,0.0,0.4803795,0.156461301319026,-0.3693479814139885,0.1638569256686464,-0.4570214401824908,-0.5333166963676733
2012-01-16,0.5822248005208407,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0108414794504688,0.0261689299082826,-0.1612696288769421,0.0474319932667171,-0.0811654952171117,-0.0980514024393679,-0.0461850754678435,-0.0062913279144492,0.1282322714486089,-0.0154428481346429,-0.210434486625565,-0.0212594281072788,0.0618273667870946,0.0452201079650283,-0.0687388100625719,0.200746372273964,0.2456546666017131,0.1515530610414729,0.2001264727768373,0.1779478457074311,0.0031563820886686,0.0126432103481621,0.0033719900122377,0.0276913816024923,0.0082733890136075,-0.210434486625565,-0.0212594281072788,0.0618273667870946,0.0452201079650283,-0.0687388100625719,-0.5408986506375841,-0.15799272146858528,-0.4245088825942802,0.9760284184014183,0.0551363530651682,-0.38677050008658553,0.6623532831651446,-0.41195620502087443,-0.493792605,-0.493792605,0.0,0.0,0.0,0.0,-0.7094875289248977,-0.6157823301794473,-0.5883524641180481,0.12559982475869358,-0.9373206874421556
