,Unnamed: 0,purchase,HURRICANE,HOLIDAYS,NEWYEARSDAY,DAYAFTERNEWYEARS,BIRTHDAYOFMARTINLUTHERKINGJR,VALENTINESDAY,WASHINGTONSBIRTHDAY,EASTER,MEMORIALDAY,INDEPENDENCEDAY,LABORDAY,COLUMBUSDAY,VETERANSDAY,THANKSGIVING,CHRISTMASDAY,DAYAFTERCHRISTMAS,NEWYEARSEVE,FIRST_OF_MONTH,FIFTEENTH_OF_MONTH,MON,TUE,WED,THU,FRI,SAT,SUN,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC ,devils_vader_pe,giants_vader_pe,knicks_vader_pe,mets_vader_pe,yankees_vader_pe,devils_pysent_pe,giants_pysent_pe,knicks_pysent_pe,mets_pysent_pe,yankees_pysent_pe,devils_mean_no_neg_pysent,giants_mean_no_neg_pysent,knicks_mean_no_neg_pysent,mets_mean_no_neg_pysent,yankees_mean_no_neg_pysent,devils_mean_roberta,giants_mean_roberta,knicks_mean_roberta,mets_mean_roberta,yankees_mean_roberta,devils_mean_distilbert,giants_mean_distilbert,knicks_mean_distilbert,mets_mean_distilbert,yankees_mean_distilbert,devils_mean_no_neg_pysent.1,giants_mean_no_neg_pysent.1,knicks_mean_no_neg_pysent.1,mets_mean_no_neg_pysent.1,yankees_mean_no_neg_pysent.1,log_purchase,sum_vader,sum_pysent,sum_roberta,sum_distilbert,sum_no_neg_pysent,next_day_purchase,next_day_log_purchase,sum_pe,knicks_pe,mets_pe,yankees_pe,giants_pe,devils_pe,norm_sum_vader,norm_sum_pysent,norm_sum_roberta,norm_sum_distilbert,norm_sum_no_neg_pysent
1,2012-01-02,0.7271226630213357,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0980153846153846,0.09578730964467,0.0200770491803277,0.068680855986119,-0.2663446648464924,0.0391322242525907,0.0240321620769307,-0.1532846890512059,0.0398066087979812,-0.3309123369022326,0.0157511491651346,0.068647206088022,-0.0999512836044909,0.1527479967015704,-0.1831449713583005,0.1562824933386694,0.2132388742848625,0.1685408706909843,0.1869938867831868,0.2249498085227597,0.0022455500630502,0.0153368372414148,0.0025290700677681,0.0166136138243497,0.0101411431832586,0.0157511491651346,0.068647206088022,-0.0999512836044909,0.1527479967015704,-0.1831449713583005,-0.3186600907548833,0.0162159345800089,-0.4731258368420646,0.9500059336204628,0.0468662143798414,-0.0918998060161288,0.8179667680866194,-0.2009335690156193,-1.0,-0.5,0.0,0.0,0.0,-0.5,0.1092208043809502,-0.6908673201421336,-0.8738392103687379,-0.2158538834527389,-0.1972778705669489
3,2012-01-04,0.532015060962385,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0622229957264957,-0.0519278807342357,-0.0949039390483158,0.0294106383059317,-0.1173395352339548,0.0232591866592311,-0.1913967408643824,-0.1095214265801406,0.0329695127943802,-0.1635650586406958,-0.0865075926145096,-0.0562939513827773,-0.1652262227800426,-0.0598930784554195,-0.1342354064213372,0.1848440473452986,0.2134256269695031,0.1615936269517987,0.2645712517286566,0.206151033624472,0.0143009695663446,0.0079536669369582,0.0028696286565664,0.0265139977330791,0.0189417065048473,-0.0865075926145096,-0.0562939513827773,-0.1652262227800426,-0.0598930784554195,-0.1342354064213372,-0.6310834799615442,-0.2969837124370703,-1.4125670299397797,1.030585586619729,0.0705799693977956,-1.0043125033081723,0.717249036731193,-0.3323321671244326,-0.9,-0.45,0.0,0.0,0.0,-0.45,-1.3626874625068133,-2.141758961662243,0.0101817869499291,0.763228801202139,-2.487178075079542
9,2012-01-10,0.7088892173184335,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1296115059902254,-0.0581035736053121,0.0004349423339745,-0.0437667856486556,-0.0694988129431179,0.0085631258610658,-0.0233310597790502,0.0058609046210457,-0.0709303078990539,-0.1279113490610823,-0.0993153549101411,0.0001749386620831,0.040350813783939,-0.0403211809717017,-0.0903308967150567,0.1516134701471902,0.2783317924325059,0.227571739913753,0.2242469361327453,0.1968369779365791,0.0028754843527675,0.0068551813134976,0.030369310116399,0.0033579593733181,0.0172937943599331,-0.0993153549101411,0.0001749386620831,0.040350813783939,-0.0403211809717017,-0.0903308967150567,-0.3440560166777628,-0.0413227238728857,-0.5866320465588296,1.0786009165627737,0.0607517295159153,-0.3788833603017547,0.6374002824809857,-0.4503574338220527,-0.51805,0.0,0.0,0.0,0.0,-0.51805,-0.1611869941240996,-0.8661685653383864,0.5369470221293531,0.3574449225334938,-0.9175261766249496
11,2012-01-12,0.6675204076619139,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0718808040157532,-0.0770462812493872,0.0263207337594812,0.0412443419931997,-0.0418163967152705,0.0598234529067925,-0.097073167242614,0.0541877946804811,0.0422343313356707,-0.0511397983315188,0.0854972315948638,-0.0694458513486136,-0.022149302216631,8.482703867963848e-05,-0.0884995968874569,0.1763994030316825,0.2248895519391671,0.209089706958655,0.2191594654389638,0.2197670512250624,0.0074974070020834,0.0172926454880715,0.0111707219746141,0.016919710384889,0.0265770202819702,0.0854972315948638,-0.0694458513486136,-0.022149302216631,8.482703867963848e-05,-0.0884995968874569,-0.40418531589881,0.0205832018037763,-0.1809927702895046,1.0493051785935308,0.0794575051316282,-0.1890253836383161,0.8219972693064038,-0.1960182059431492,-0.6096205,-0.6096205,0.0,0.0,0.0,0.0,0.1297451465747995,-0.2396912086549076,0.2155501615969302,1.1297604412911788,-0.4410358549971706
13,2012-01-14,0.6535947210421007,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0338493304390139,0.0420536021321748,0.0445188694131631,0.0211036087270735,-0.1152574183376239,0.0511933054971021,-0.0493295379822525,0.003485070347763,0.074771548333985,-0.1192701570093744,0.0741663351186637,-0.0007826761107845,-0.1296315442601176,0.042420084264365,-0.0990695809626088,0.2211138020011002,0.2030368085541682,0.1716346074730002,0.2192126093528702,0.2295954461488872,0.0094970217614899,0.0071654355350002,0.0060979547724854,0.0084266745109332,0.009837957847485,0.0741663351186637,-0.0007826761107845,-0.1296315442601176,0.042420084264365,-0.0990695809626088,-0.425267812209933,0.0262679923738013,-0.2649445347137412,1.044593273530026,0.0410250444273937,-0.2257947639009644,0.4764113080880611,-0.7414737052418489,-0.06827895,-0.54865845,0.0,0.0,0.0,0.4803795,0.156461301319026,-0.3693479814139885,0.1638569256686464,-0.4570214401824908,-0.5333166963676733
15,2012-01-16,0.5822248005208407,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0108414794504688,0.0261689299082826,-0.1612696288769421,0.0474319932667171,-0.0811654952171117,-0.0980514024393679,-0.0461850754678435,-0.0062913279144492,0.1282322714486089,-0.0154428481346429,-0.210434486625565,-0.0212594281072788,0.0618273667870946,0.0452201079650283,-0.0687388100625719,0.200746372273964,0.2456546666017131,0.1515530610414729,0.2001264727768373,0.1779478457074311,0.0031563820886686,0.0126432103481621,0.0033719900122377,0.0276913816024923,0.0082733890136075,-0.210434486625565,-0.0212594281072788,0.0618273667870946,0.0452201079650283,-0.0687388100625719,-0.5408986506375841,-0.1579927214685852,-0.4245088825942802,0.9760284184014184,0.0551363530651682,-0.3867705000865855,0.6623532831651446,-0.4119562050208744,-0.493792605,-0.493792605,0.0,0.0,0.0,0.0,-0.7094875289248977,-0.6157823301794473,-0.5883524641180481,0.1255998247586935,-0.9373206874421556
17,2012-01-18,0.7297276685610881,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0477194801517477,0.0094169771270337,0.1341343148953911,-0.0652770443159382,-0.0690232909614019,0.1471429212850636,-0.0139264886793313,0.0968402604454525,-0.0647887238743163,-0.0868649576278352,0.1248974855239542,-0.0475121721189523,-0.0294131287011524,-0.033739482483339,-0.0664720198768236,0.2117827039500979,0.2144931495299647,0.2328662733613912,0.2397984198736841,0.2380030692485161,0.0137406938822881,0.0116026024680745,0.0023231079753063,0.007366676429667,0.0135587765777017,0.1248974855239542,-0.0475121721189523,-0.0294131287011524,-0.033739482483339,-0.0664720198768236,-0.3150838712083193,0.0569704368968323,-0.0260756237635928,1.136943615963654,0.0485918573330376,-0.1044786353126261,0.7201850044768119,-0.3282471493159649,-0.444413345,-0.444413345,0.0,0.0,0.0,0.0,0.3007500396286446,-0.0004340899826457,1.1770114725322245,-0.1446063254809243,-0.2288472074076864
18,2012-01-19,0.7201850044768119,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0097466402177359,0.0317362467510137,-0.0432306536646724,-0.0882886539546961,-0.0758724618652617,0.00500023466131,-0.0201382087507201,-0.2565385336771655,-0.0825705602334832,-0.0321672386680684,-0.1002150107947537,-0.0378695999222324,-0.0378644865684096,-0.0023149347703048,-0.067768005301667,0.1731968830659318,0.2461658233904745,0.2112233676959442,0.1627971811004681,0.2157928460638504,0.0130943957878686,0.0112038608681177,0.0030359241487369,0.0077126949682496,0.0064368161746824,-0.1002150107947537,-0.0378695999222324,-0.0378644865684096,-0.0023149347703048,-0.067768005301667,-0.3282471493159649,-0.1854021629513524,-0.8784783813828622,1.009176101316669,0.0414836919476552,-0.492064074714735,0.8033086209099498,-0.2190163039914765,-0.610892605,0.0,0.0,0.0,0.0,-0.610892605,-0.8383005205534014,-1.3169018426478736,-0.2246967939973346,-0.4380850108777289,-1.2015780556160738
19,2012-01-20,0.8033086209099498,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0581779840355523,0.0456365362173265,0.062132428034992,0.0772667114407734,-0.0456845146737104,-0.1188896429603703,0.0373360956570142,-0.1029831758276998,0.0510443341480629,0.0254051318955599,0.0361960562737557,0.017536087685473,-0.089581515938765,0.0391038330788252,-0.0025344819237844,0.2164714912945085,0.2662713635463569,0.2855647363129162,0.1785692332778126,0.179127348631377,0.0130811414623754,0.0096885146077244,0.0025790746097505,0.0115499590754886,0.00263837797446,0.0361960562737557,0.017536087685473,-0.089581515938765,0.0391038330788252,-0.0025344819237844,-0.2190163039914765,0.0811731769838292,-0.1066472987364241,1.126004173062971,0.0395370677297989,0.001439958351009,0.5484258722581549,-0.6007031546931807,-0.39997201,-0.39997201,0.0,0.0,0.0,0.0,0.4144928664634521,-0.1248705854442583,1.0569973391472085,-0.5184563423598136,0.036978783409725
20,2012-01-21,0.5484258722581549,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1195740732390318,-0.0132228462666324,-0.0952869232105112,0.0945653649720207,-0.0783182895278201,-0.199757453621401,0.0592863864933504,-0.2354354273981874,0.1293233242876895,-0.0858701422617823,-0.0369779878928226,0.0042555227855615,-0.0705059094297099,0.0670838886255411,-0.0248562789698748,0.200089895980182,0.1968608103337376,0.1932946343143332,0.2070457223340167,0.2182910350332614,0.0087815530065282,0.0021607623781108,0.0026087810355362,0.0191732414607574,0.0049025059984908,-0.0369779878928226,0.0042555227855615,-0.0705059094297099,0.0670838886255411,-0.0248562789698748,-0.6007031546931807,-0.2118367672719747,-0.4544548422629401,1.015582097995531,0.0376268438794234,-0.1220015297626093,0.4689574130741375,-0.7572433183386388,-0.909778154,-0.359974809,0.0,0.0,0.0,-0.549803345,-0.962532182376792,-0.6620314651969254,-0.1544180652850218,-0.5973247920971666,-0.2728247624151501
