,Unnamed: 0,purchase,HURRICANE,HOLIDAYS,NEWYEARSDAY,DAYAFTERNEWYEARS,BIRTHDAYOFMARTINLUTHERKINGJR,VALENTINESDAY,WASHINGTONSBIRTHDAY,EASTER,MEMORIALDAY,INDEPENDENCEDAY,LABORDAY,COLUMBUSDAY,VETERANSDAY,THANKSGIVING,CHRISTMASDAY,DAYAFTERCHRISTMAS,NEWYEARSEVE,FIRST_OF_MONTH,FIFTEENTH_OF_MONTH,MON,TUE,WED,THU,FRI,SAT,SUN,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC ,devils_vader_pe,giants_vader_pe,knicks_vader_pe,mets_vader_pe,yankees_vader_pe,devils_pysent_pe,giants_pysent_pe,knicks_pysent_pe,mets_pysent_pe,yankees_pysent_pe,devils_mean_no_neg_pysent,giants_mean_no_neg_pysent,knicks_mean_no_neg_pysent,mets_mean_no_neg_pysent,yankees_mean_no_neg_pysent,devils_mean_roberta,giants_mean_roberta,knicks_mean_roberta,mets_mean_roberta,yankees_mean_roberta,devils_mean_distilbert,giants_mean_distilbert,knicks_mean_distilbert,mets_mean_distilbert,yankees_mean_distilbert,devils_mean_no_neg_pysent.1,giants_mean_no_neg_pysent.1,knicks_mean_no_neg_pysent.1,mets_mean_no_neg_pysent.1,yankees_mean_no_neg_pysent.1,log_purchase,sum_vader,sum_pysent,sum_roberta,sum_distilbert,sum_no_neg_pysent,next_day_purchase,next_day_log_purchase,sum_pe,knicks_pe,mets_pe,yankees_pe,giants_pe,devils_pe,norm_sum_vader,norm_sum_pysent,norm_sum_roberta,norm_sum_distilbert,norm_sum_no_neg_pysent
5,2012-01-06,0.8679906130734345,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0707093244419306,0.0450463065626703,0.0109922323626855,0.0114134542386522,-0.110003938344894,0.1546628389072434,0.0445390734147486,-0.1503432813448084,0.0152448439505194,-0.1050588780118225,0.0083711166982984,0.0280825350966928,-0.0568904267771986,-0.0076950501368984,-0.0809166751066348,0.2170220625337998,0.2470599761537659,0.2411848076468182,0.1932594722403615,0.18372319899375,0.0031075565890276,0.0084401556527209,0.00300433466642,0.0035818637992651,0.0171434349257797,0.0083711166982984,0.0280825350966928,-0.0568904267771986,-0.0076950501368984,-0.0809166751066348,-0.1415743788117903,0.0281573792610446,-0.2590524035356006,1.0822495175684954,0.0352773456332133,-0.2180970004514812,0.497132722698283,-0.6988982408537319,1.19,0.595,0.0,0.0,0.0,0.595,0.165340635012946,-0.3602480569696332,0.5769749917202072,-0.6943298024276549,-0.5139974670873523
6,2012-01-07,0.497132722698283,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0622953631278981,-0.0452263546529978,0.0075187148321227,-0.0478036084813711,-0.0428494501315011,0.198429091706286,-0.0627936451428887,-0.1070136646076972,-0.0382158705644934,0.030194090520213,0.0492740694811509,-0.0753022226813667,0.0419190043706655,0.054823914116963,0.1398512334212926,0.2140805696010889,0.2403612529160455,0.1594057226260365,0.2541422928381155,0.1448448256006219,0.0109094540061617,0.0032533788609651,0.0036427778785797,0.0106422672655635,0.004389879121983,0.0492740694811509,-0.0753022226813667,0.0419190043706655,0.054823914116963,0.1398512334212926,-0.6988982408537319,-0.0660653353058492,0.4417319993288303,1.0128346635819083,0.032837757133253,0.4211319974174106,0.6931662972845691,-0.3664853413581618,1.071,0.5355,0.0,0.0,0.0,0.5355,-0.2774669920724519,0.7220572965682399,-0.1845595416999235,-0.7950544180014376,1.0902882002369745
8,2012-01-09,0.6396286942096904,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2646883790489148,0.0431462247489831,0.1720537797036746,-0.0472947638606169,-0.0477792816485094,0.1201648024833798,-0.071380525829067,0.2071711393547028,-0.1167253698539043,-0.0886533188002236,0.05450434566205,0.0118803047598985,0.0686665993686221,-0.0524872484985445,-0.0883733680560436,0.2128760757838824,0.2470309275732464,0.2057671932009819,0.2433326995120997,0.2244259002595208,0.0426756036413953,0.0174346183177393,0.0025464608504613,0.0271721977681052,0.0166038085714535,0.05450434566205,0.0118803047598985,0.0686665993686221,-0.0524872484985445,-0.0883733680560436,-0.4468674362867857,0.3848143379924461,0.0389579938268527,1.1334327963297313,0.1064326891491546,-0.0116187335280349,0.7088892173184335,-0.3440560166777628,0.48195,0.48195,0.0,0.0,0.0,0.0,1.841480218820238,0.1000051209792034,1.138495070951114,2.243499516648195,0.0042051259483159
10,2012-01-11,0.6374002824809857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0488422828556726,0.0090884902675788,0.1294320010959687,0.053364229599627,-0.0471496029083009,-0.1649233996620445,-0.0261876992183073,0.0507705375116701,0.0542229604951711,-0.0571126928533029,-0.0803535711084157,-0.0005428004421798,-0.0536566453492027,-0.0362709615538883,-0.0395932117791698,0.1893560659111538,0.2399521638957355,0.2030570169445127,0.2377261614031158,0.2128200337558595,0.0131332672073142,0.0126679042372819,0.0033720217595275,0.0111933834844239,0.0174457389017523,-0.0803535711084157,-0.0005428004421798,-0.0536566453492027,-0.0362709615538883,-0.0395932117791698,-0.4503574338220527,0.095892835199201,-0.5640646741925261,1.0829114419103774,0.0578123155902998,-0.4208343804657126,0.6675204076619139,-0.40418531589881,0.96751,0.433755,0.0,0.0,0.0,0.533755,0.4836691468945301,-0.8313150671333785,0.5842368127268738,0.2360837431072655,-1.022811482208779
16,2012-01-17,0.6623532831651446,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0502953435535866,-0.0310436714222238,-0.0315672114437933,0.0070496811580904,-0.0452101837036234,0.0055158968238319,-0.0944851228307721,-0.192888650493188,-0.0820118370539588,0.0098085954897983,-0.0646206543918296,-0.0986477655176427,-0.1638823526957543,-0.0612397566870184,-0.0008480574589481,0.1570229112628787,0.2477586515044241,0.1781955385707657,0.2402322246772902,0.1928569476296259,0.0191365382781969,0.0029583986784315,0.0017630639922571,0.0110423952788862,0.0048674669751242,-0.0646206543918296,-0.0986477655176427,-0.1638823526957543,-0.0612397566870184,-0.0008480574589481,-0.4119562050208744,-0.1510667289651366,-1.1325382915666748,1.0160662736449846,0.0397678632028959,-0.7784771735023862,0.7297276685610881,-0.3150838712083193,0.43234155,0.0,0.0,0.0,0.0,0.43234155,-0.6769382405737753,-1.709277015079452,-0.149106284648398,-0.5089273642947658,-1.920394678220573
23,2012-01-24,0.6637283808148439,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0589443587481477,0.0439861773824175,-0.0362750897049012,0.0443428935804982,0.0126354257256496,-0.0555256237544284,-0.0460740408877142,-0.1639008588742646,0.0205965673718123,0.0081756726346547,-0.1990869502736861,-0.0637234678337533,-0.0625870477397679,-0.0132117462687626,0.2303265114251537,0.2272465999525667,0.2484030388090899,0.2101095503676333,0.2307156576920094,0.1454758379529606,0.0229680692006082,0.0062353067250246,0.0206506372414878,0.0106067144488268,0.0114912453962717,-0.1990869502736861,-0.0637234678337533,-0.0625870477397679,-0.0132117462687626,0.2303265114251537,-0.4098822782335154,0.0057450482355163,-0.4532936848915725,1.06195068477426,0.071951973012219,-0.2165654013816323,0.7221811920436043,-0.3254792130649827,0.181199662,0.676022672,0.0,0.0,0.0,-0.49482301,0.0600119871971292,-0.6602381506850807,0.3542811261692063,0.8198754596983959,-0.5101535825889371
30,2012-01-31,0.6656926024329965,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0006232694276354,0.0437444137161604,0.18302608651968,-0.0183037649839326,0.0438860136918984,0.0697252326167864,-0.0707684235521682,0.1410704807298038,0.0203264628434311,0.0357735524109373,-0.0198873683043153,-0.0400088827479676,0.0562313548511994,0.0277798329918521,-0.0645179601358773,0.16252704820892,0.2573690821600118,0.1931468658466738,0.1980392097149368,0.2042906437237073,0.0040600088495093,0.0028703149092516,0.0017071678170891,0.01410494138515,0.0177910630699438,-0.0198873683043153,-0.0400088827479676,0.0562313548511994,0.0277798329918521,-0.0645179601358773,-0.4069272729008004,0.2517294795161707,0.1153212583585729,1.0153728496542498,0.0405334960309438,-0.0808060466902173,0.56536013729575,-0.5702923397529744,1.269197766,0.714538475,0.0,0.0,0.0,0.554659291,1.2160366550919055,0.217942063751456,-0.1567136811193117,-0.4773162658340836,-0.1694356432233208
32,2012-02-02,0.8098647603079917,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0781451612806201,-0.0077266867368053,0.0242675156028263,-0.0045866937926407,-0.0113945324141317,-0.0806860066706363,0.0264860177178519,0.2185902065581997,-0.0235956133094167,0.0150645452864884,-0.1701933142677419,-0.0080190075049069,0.0935161505494125,-0.0355367957573626,-0.0224942149825661,0.186087268297614,0.2392829290086714,0.1364682314710484,0.2180493611541298,0.2367105333959693,0.0145018252232325,0.0093334509798626,0.005705879936512,0.0099824555134031,0.0041984117032997,-0.1701933142677419,-0.0080190075049069,0.0935161505494125,-0.0355367957573626,-0.0224942149825661,-0.2108880078381825,-0.0775855586213715,-0.129595214343843,1.016598323327433,0.0437220233563099,-0.28545436392633,0.9150724266642613,-0.0887520620148644,0.14227799,-0.356915372,0.0,0.0,0.0,0.499193362,-0.3316072572228331,-0.1603118021907012,-0.1432692889131923,-0.3456698061548269,-0.6830455753110326
34,2012-02-04,0.741236285454617,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.014224621557055,0.0356819392987431,-0.1608803751773672,-0.0329587050362142,-0.0114116592953801,-0.1192258231444098,0.0684968248191641,-0.1616135991233416,0.026899775970689,-0.0561059900502414,0.095133214683035,0.0580372667898762,-0.0163141367306102,0.034409140137692,-0.0343275449725459,0.2217350686423015,0.2704085620276564,0.1812011818107537,0.2507216380249741,0.2188382441339295,0.01578144548017,0.0148141675329892,0.0079836330423307,0.0199566338163907,0.0112070923276505,0.095133214683035,0.0580372667898762,-0.0163141367306102,0.034409140137692,-0.0343275449725459,-0.2994358307575641,-0.1553441786531633,0.0323270682867544,1.1429046946396153,0.0697429721995311,0.2738758798148942,0.7641353340930715,-0.2690103666375759,1.160172574,0.710898548,0.0,0.0,0.0,0.449274026,-0.6970404776515191,0.0897641878453823,1.2424091072957597,0.7286712432234486,0.720716607453888
35,2012-02-05,0.7641353340930715,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.1016426996023545,-0.0657962937983131,0.125960956875121,0.0511049426667825,0.0509179160829767,0.1457174115580898,0.040452651962184,0.2714599818050273,0.0674849352265133,-0.0232637837817348,0.1445715312747317,0.1317734910896682,0.1019245438067797,0.0334089675122495,-0.0211647939740025,0.2226747911828266,0.1714574330930636,0.2626620385647807,0.2511258090186554,0.2186111508175963,0.012757702305446,0.0025828333280662,0.0061729455173796,0.0138480960940439,0.0022038215651627,0.1445715312747317,0.1317734910896682,0.1019245438067797,0.0334089675122495,-0.0211647939740025,-0.2690103666375759,0.2638302214289216,1.282878676188933,1.1265312226769226,0.0375653988100984,0.7810274794188533,0.6715673686378336,-0.3981409424549427,0.404346623,0.0,0.0,0.0,0.0,0.404346623,1.272905116555663,2.0211409344961746,1.0627794802711734,-0.5998617080511341,1.993525014327997
