ZIP,ZIP,num_residential,num_total,prop_residential
11201,11201,2093,3396,0.6163133097762074
11203,11203,9710,11031,0.8802465778261264
11204,11204,8506,9984,0.8519631410256411
11205,11205,1841,3260,0.5647239263803681
11206,11206,2727,4759,0.5730195419205716
11207,11207,8010,11480,0.6977351916376306
11208,11208,8715,11206,0.7777083705157951
11209,11209,7235,8472,0.853989612842304
11210,11210,7659,8578,0.8928654698064817
11211,11211,3895,7129,0.5463599382802637
11212,11212,4669,6613,0.7060335702404356
11213,11213,4144,5147,0.8051292014765883
11214,11214,8014,9507,0.8429578205532765
11215,11215,7007,9139,0.7667140825035562
11216,11216,4512,6123,0.7368936795688388
11217,11217,2816,4104,0.6861598440545809
11218,11218,5436,6904,0.787369640787949
11219,11219,6423,8686,0.7394658070458209
11220,11220,6736,9073,0.7424225724677614
11221,11221,7584,9235,0.82122360584732
11222,11222,3276,5314,0.6164847572450132
11223,11223,8800,10385,0.8473760231102552
11224,11224,2025,2886,0.7016632016632016
11225,11225,3073,3938,0.7803453529710513
11226,11226,3980,5373,0.7407407407407407
11228,11228,7323,7856,0.932153767820774
11229,11229,10883,12117,0.8981596104646364
11230,11230,7075,8026,0.8815100922003488
11231,11231,3035,4870,0.6232032854209446
11232,11232,1371,2970,0.4616161616161616
11233,11233,6320,8026,0.7874408173436331
11234,11234,18141,19333,0.9383437645476647
11235,11235,6968,7985,0.8726361928616155
11236,11236,13719,14670,0.9351738241308793
11237,11237,3144,4425,0.7105084745762712
11238,11238,3576,4971,0.7193723596861799
11239,11239,323,338,0.9556213017751479
10001,10001,99,1090,0.0908256880733945
10002,10002,486,1714,0.28354725787631274
10003,10003,971,1891,0.5134849286092015
10004,10004,2,110,0.01818181818181818
10005,10005,0,77,0.0
10006,10006,0,67,0.0
10007,10007,0,231,0.0
10009,10009,754,1352,0.5576923076923077
10010,10010,147,628,0.2340764331210191
10011,10011,954,2083,0.45799327892462793
10012,10012,199,1151,0.17289313640312773
10013,10013,9,1659,0.0054249547920434
10014,10014,895,1965,0.455470737913486
10016,10016,543,1410,0.3851063829787234
10017,10017,90,494,0.18218623481781376
10018,10018,0,624,0.0
10019,10019,291,1105,0.26334841628959277
10021,10021,795,1197,0.6641604010025063
10022,10022,461,1123,0.41050756901157615
10023,10023,945,1273,0.7423409269442263
10024,10024,1389,1749,0.7941680960548885
10025,10025,1202,1600,0.75125
10026,10026,728,1030,0.7067961165048544
10027,10027,1543,2267,0.6806352007057785
10028,10028,835,1211,0.6895127993393889
10029,10029,742,1619,0.458307597282273
