,celtics_wins,celtics_losses,celtics_ties,celtics_num_events,celtics_mask,temp,patriots_wins,patriots_losses,patriots_ties,patriots_num_events,patriots_mask,bruins_wins,bruins_losses,bruins_ties,bruins_num_events,bruins_mask,red-sox_wins,red-sox_losses,red-sox_ties,red-sox_num_events,red-sox_mask,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,sum_streak,sum_loss_streak,celtics_streak,celtics_loss_streak,patriots_streak,patriots_loss_streak,bruins_streak,bruins_loss_streak,red-sox_streak,red-sox_loss_streak,date,celtics_pe,patriots_pe,bruins_pe,red-sox_pe,sum_pe,sum_pe_with_na,mean_pe
2012-01-01,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-01,0.5,0.0,0.0,0.0,0.5,0.5,0.5
2012-01-02,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02,0.45,0.0,0.0,0.0,0.45,0.45,0.45
2012-01-03,,,,,1.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0,0.0,0.0,0.0,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-03,0.0,0.0,0.0,0.0,0.0,,
2012-01-04,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,2,2.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-01-04,0.405,0.0,0.5,0.0,0.905,0.905,0.4525
2012-01-05,,,,,1.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2012-01-05,0.0,0.0,0.45,0.0,0.45,0.45,0.45
2012-01-06,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2012-01-06,-0.6355,0.0,0.0,0.0,-0.6355,-0.6355,-0.6355
2012-01-07,,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-07,0.0,0.0,-0.595,0.0,-0.595,-0.595,-0.595
2012-01-08,,,,,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,0,0.0,0.0,0.0,,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-08,0.0,0.0,0.0,0.0,0.0,,
2012-01-09,,,,,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,0,0.0,0.0,0.0,,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-09,0.0,0.0,0.0,0.0,0.0,,
2012-01-10,,,,,1.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-01-10,0.0,0.0,0.4645,0.0,0.4645,0.4645,0.4645
2012-01-11,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-01-11,-0.57195,0.0,0.0,0.0,-0.57195,-0.57195,-0.57195
2012-01-12,,,,,1.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2012-01-12,0.0,0.0,0.41805,0.0,0.41805,0.41805,0.41805
2012-01-13,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2012-01-13,-0.514755,0.0,0.0,0.0,-0.514755,-0.514755,-0.514755
2012-01-14,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,2,0.0,2.0,-2.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-14,-0.4632795,0.0,-0.623755,0.0,-1.0870345,-1.0870345,-0.54351725
2012-01-15,,,,,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,0,0.0,0.0,0.0,,,0.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-15,0.0,0.0,0.0,0.0,0.0,,
2012-01-16,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,2,1.0,1.0,0.0,0.5,0.5,1.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-01-16,-0.41695155,0.0,0.4386205,0.0,0.02166895,0.02166895,0.010834475
2012-01-17,,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-17,0.0,0.0,-0.60524155,0.0,-0.60524155,-0.60524155,-0.60524155
2012-01-18,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-18,0.624743605,0.0,0.0,0.0,0.624743605,0.624743605,0.624743605
2012-01-19,,,,,1.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-01-19,0.0,0.0,0.455282605,0.0,0.455282605,0.455282605,0.455282605
2012-01-20,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-01-20,-0.4377307555,0.0,0.0,0.0,-0.4377307555,-0.4377307555,-0.4377307555
2012-01-21,,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-21,0.0,0.0,-0.5902456555,0.0,-0.5902456555,-0.5902456555,-0.5902456555
2012-01-22,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,2,2.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-01-22,0.60604232005,0.0,0.46877891005,0.0,1.0748212301,1.0748212301,0.53741061505
2012-01-23,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-01-23,0.545438088045,0.0,0.0,0.0,0.545438088045,0.545438088045,0.545438088045
2012-01-24,,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-24,0.0,0.0,-0.578098980955,0.0,-0.578098980955,-0.578098980955,-0.578098980955
2012-01-25,,,,,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,0,0.0,0.0,0.0,,,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-25,0.0,0.0,0.0,0.0,0.0,,
2012-01-26,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-26,0.49089427924,0.0,0.0,0.0,0.49089427924,0.49089427924,0.49089427924
2012-01-27,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-27,0.441804851316,0.0,0.0,0.0,0.441804851316,0.441804851316,0.441804851316
2012-01-28,,,,,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,0,0.0,0.0,0.0,,,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-28,0.0,0.0,0.0,0.0,0.0,,
2012-01-29,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-29,-0.602375633815,0.0,0.0,0.0,-0.602375633815,-0.602375633815,-0.602375633815
2012-01-30,,,,,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,0,0.0,0.0,0.0,,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-30,0.0,0.0,0.0,0.0,0.0,,
2012-01-31,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,2,2.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-01-31,0.457861929566,0.0,0.47971091714,0.0,0.937572846707,0.937572846707,0.468786423353
2012-02-01,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-02-01,0.41207573661,0.0,0.0,0.0,0.41207573661,0.41207573661,0.41207573661
2012-02-02,,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-02-02,0.0,0.0,-0.568260174574,0.0,-0.568260174574,-0.568260174574,-0.568260174574
2012-02-03,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-02-03,0.370868162949,0.0,0.0,0.0,0.370868162949,0.370868162949,0.370868162949
2012-02-04,,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2012-02-04,0.0,0.0,-0.511434157116,0.0,-0.511434157116,-0.511434157116,-0.511434157116
2012-02-05,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,2,2.0,0.0,2.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-02-05,0.333781346654,0.0,0.539709258595,0.0,0.873490605249,0.873490605249,0.436745302625
2012-02-06,,,,,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,0,0.0,0.0,0.0,,,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-02-06,0.0,0.0,0.0,0.0,0.0,,
2012-02-07,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-02-07,0.300403211988,0.0,0.0,0.0,0.300403211988,0.300403211988,0.300403211988
2012-02-08,,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-02-08,0.0,0.0,-0.514261667264,0.0,-0.514261667264,-0.514261667264,-0.514261667264
2012-02-09,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-02-09,-0.72963710921,0.0,0.0,0.0,-0.72963710921,-0.72963710921,-0.72963710921
2012-02-10,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-02-10,-0.656673398289,0.0,0.0,0.0,-0.656673398289,-0.656673398289,-0.656673398289
2012-02-11,,,,,1.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-02-11,0.0,0.0,0.537164499462,0.0,0.537164499462,0.537164499462,0.537164499462
