,bears_wins,bears_losses,bears_ties,bears_num_events,bears_mask,temp,white-sox_wins,white-sox_losses,white-sox_ties,white-sox_num_events,white-sox_mask,blackhawks_wins,blackhawks_losses,blackhawks_ties,blackhawks_num_events,blackhawks_mask,cubs_wins,cubs_losses,cubs_ties,cubs_num_events,cubs_mask,bulls_wins,bulls_losses,bulls_ties,bulls_num_events,bulls_mask,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,sum_streak,sum_loss_streak,bears_streak,bears_loss_streak,white-sox_streak,white-sox_loss_streak,blackhawks_streak,blackhawks_loss_streak,cubs_streak,cubs_loss_streak,bulls_streak,bulls_loss_streak,date,bears_pe,white-sox_pe,blackhawks_pe,cubs_pe,bulls_pe,sum_pe,sum_pe_with_na,mean_pe
2012-01-01,,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2012-01-01,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
2012-01-02,,,,,0.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,,,,,1.0,1,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2012-01-02,0.0,0.0,-0.5,0.0,0.0,-0.5,-0.5,-0.5
2012-01-03,,,,,0.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2012-01-03,0.0,0.0,0.0,0.0,0.45,0.45,0.45,0.45
2012-01-04,,,,,0.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2012-01-04,0.0,0.0,0.0,0.0,0.405,0.405,0.405,0.405
2012-01-05,,,,,0.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,,,,,1.0,1,0.0,1.0,-1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2012-01-05,0.0,0.0,-0.45,0.0,0.0,-0.45,-0.45,-0.45
2012-01-06,,,,,0.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,2,1.0,1.0,0.0,0.5,0.5,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,2012-01-06,0.0,0.0,-0.405,0.0,0.3645,-0.0405,-0.0405,-0.02025
2012-01-07,,,,,0.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2012-01-07,0.0,0.0,0.0,0.0,-0.67195,-0.67195,-0.67195,-0.67195
2012-01-08,,,,,0.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,,,,,1.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2012-01-08,0.0,0.0,-0.3645,0.0,0.0,-0.3645,-0.3645,-0.3645
2012-01-09,,,,,0.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2012-01-09,0.0,0.0,0.0,0.0,0.395245,0.395245,0.395245,0.395245
2012-01-10,,,,,0.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,2,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2012-01-10,0.0,0.0,0.67195,0.0,0.3557205,1.0276705,1.0276705,0.51383525
