,bears_wins,bears_losses,bears_ties,bears_num_events,temp,white-sox_wins,white-sox_losses,white-sox_ties,white-sox_num_events,blackhawks_wins,blackhawks_losses,blackhawks_ties,blackhawks_num_events,cubs_wins,cubs_losses,cubs_ties,cubs_num_events,bulls_wins,bulls_losses,bulls_ties,bulls_num_events,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,sum_streak,sum_loss_streak,bears_streak,bears_loss_streak,white-sox_streak,white-sox_loss_streak,blackhawks_streak,blackhawks_loss_streak,cubs_streak,cubs_loss_streak,bulls_streak,bulls_loss_streak,date,bears_pe,white-sox_pe,blackhawks_pe,cubs_pe,bulls_pe,sum_pe,sum_pe_with_na,mean_pe
2013-01-01,,,,,0.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-02,,,,,0.0,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2013-01-02,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
2013-01-03,,,,,0.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2013-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-04,,,,,0.0,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2013-01-04,0.0,0.0,0.0,0.0,0.45,0.45,0.45,0.45
2013-01-05,,,,,0.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2013-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-06,,,,,0.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2013-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-07,,,,,0.0,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013-01-07,0.0,0.0,0.0,0.0,0.405,0.405,0.405,0.405
2013-01-08,,,,,0.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-09,,,,,0.0,,,,,,,,,,,,,0.0,1.0,0.0,1.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2013-01-09,0.0,0.0,0.0,0.0,-0.6355,-0.6355,-0.6355,-0.6355
2013-01-10,,,,,0.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2013-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-11,,,,,0.0,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2013-01-11,0.0,0.0,0.0,0.0,0.42805,0.42805,0.42805,0.42805
