,rangers_wins,rangers_losses,rangers_ties,rangers_num_events,rangers_mask,temp,stars_wins,stars_losses,stars_ties,stars_num_events,stars_mask,mavericks_wins,mavericks_losses,mavericks_ties,mavericks_num_events,mavericks_mask,cowboys_wins,cowboys_losses,cowboys_ties,cowboys_num_events,cowboys_mask,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,sum_streak,sum_loss_streak,rangers_streak,rangers_loss_streak,stars_streak,stars_loss_streak,mavericks_streak,mavericks_loss_streak,cowboys_streak,cowboys_loss_streak,date,rangers_pe,stars_pe,mavericks_pe,cowboys_pe,sum_pe,sum_pe_with_na,mean_pe
2012-01-01,,,,,0.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2012-01-01,0.0,0.0,-0.5,0.0,-0.5,-0.5,-0.5
2012-01-02,,,,,0.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-01-02,0.0,0.0,0.55,0.0,0.55,0.55,0.55
2012-01-03,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,1.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2012-01-03,0.0,-0.5,0.0,0.0,-0.5,-0.5,-0.5
2012-01-04,,,,,0.0,0.0,,,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2012-01-04,0.0,0.0,0.495,0.0,0.495,0.495,0.495
2012-01-05,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,2,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2012-01-05,0.0,0.55,-0.5545,0.0,-0.0045,-0.0045,-0.00225
2012-01-06,,,,,0.0,0.0,,,,,1.0,,,,,1.0,,,,,0.0,0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2012-01-06,0.0,0.0,0.0,0.0,0.0,,
2012-01-07,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,2,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2012-01-07,0.0,0.495,0.50095,0.0,0.99595,0.99595,0.497975
2012-01-08,,,,,0.0,0.0,,,,,1.0,,,,,1.0,,,,,0.0,0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2012-01-08,0.0,0.0,0.0,0.0,0.0,,
2012-01-09,,,,,0.0,0.0,,,,,1.0,,,,,1.0,,,,,0.0,0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2012-01-09,0.0,0.0,0.0,0.0,0.0,,
2012-01-10,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,2,1.0,1.0,0.0,0.5,0.5,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2012-01-10,0.0,-0.5545,0.450855,0.0,-0.103645,-0.103645,-0.0518225
2012-01-11,,,,,0.0,0.0,,,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2012-01-11,0.0,0.0,0.4057695,0.0,0.4057695,0.4057695,0.4057695
2012-01-12,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2012-01-12,0.0,0.50095,0.0,0.0,0.50095,0.50095,0.50095
2012-01-13,,,,,0.0,0.0,,,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2012-01-13,0.0,0.0,0.36519255,0.0,0.36519255,0.36519255,0.36519255
2012-01-14,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,2,1.0,1.0,0.0,0.5,0.5,5.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2012-01-14,0.0,-0.549145,0.328673295,0.0,-0.220471705,-0.220471705,-0.1102358525
2012-01-15,,,,,0.0,0.0,,,,,1.0,,,,,1.0,,,,,0.0,0,0.0,0.0,0.0,,,5.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2012-01-15,0.0,0.0,0.0,0.0,0.0,,
