,rangers_wins,rangers_losses,rangers_ties,rangers_num_events,temp,stars_wins,stars_losses,stars_ties,stars_num_events,mavericks_wins,mavericks_losses,mavericks_ties,mavericks_num_events,cowboys_wins,cowboys_losses,cowboys_ties,cowboys_num_events,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,sum_streak,sum_loss_streak,rangers_streak,rangers_loss_streak,stars_streak,stars_loss_streak,mavericks_streak,mavericks_loss_streak,cowboys_streak,cowboys_loss_streak,date,rangers_pe,stars_pe,mavericks_pe,cowboys_pe,sum_pe,sum_pe_with_na,mean_pe
2013-01-01,,,,,0.0,,,,,1.0,0.0,0.0,1.0,,,,,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013-01-01,0.0,0.0,0.5,0.0,0.5,0.5,0.5
2013-01-02,,,,,0.0,,,,,0.0,1.0,0.0,1.0,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-01-02,0.0,0.0,-0.55,0.0,-0.55,-0.55,-0.55
2013-01-03,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-01-03,0.0,0.0,0.0,0.0,0.0,,
2013-01-04,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-01-04,0.0,0.0,0.0,0.0,0.0,,
2013-01-05,,,,,0.0,,,,,0.0,1.0,0.0,1.0,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2013-01-05,0.0,0.0,-0.495,0.0,-0.495,-0.495,-0.495
2013-01-06,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2013-01-06,0.0,0.0,0.0,0.0,0.0,,
2013-01-07,,,,,0.0,,,,,0.0,1.0,0.0,1.0,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2013-01-07,0.0,0.0,-0.4455,0.0,-0.4455,-0.4455,-0.4455
2013-01-08,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2013-01-08,0.0,0.0,0.0,0.0,0.0,,
2013-01-09,,,,,0.0,,,,,0.0,1.0,0.0,1.0,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2013-01-09,0.0,0.0,-0.40095,0.0,-0.40095,-0.40095,-0.40095
2013-01-10,,,,,0.0,,,,,1.0,0.0,0.0,1.0,,,,,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013-01-10,0.0,0.0,0.639145,0.0,0.639145,0.639145,0.639145
2013-01-11,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013-01-11,0.0,0.0,0.0,0.0,0.0,,
2013-01-12,,,,,0.0,,,,,1.0,0.0,0.0,1.0,,,,,1,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2013-01-12,0.0,0.0,0.5752305,0.0,0.5752305,0.5752305,0.5752305
2013-01-13,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2013-01-13,0.0,0.0,0.0,0.0,0.0,,
2013-01-14,,,,,0.0,,,,,1.0,0.0,0.0,1.0,,,,,1,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2013-01-14,0.0,0.0,0.51770745,0.0,0.51770745,0.51770745,0.51770745
2013-01-15,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2013-01-15,0.0,0.0,0.0,0.0,0.0,,
2013-01-16,,,,,0.0,,,,,1.0,0.0,0.0,1.0,,,,,1,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2013-01-16,0.0,0.0,0.465936705,0.0,0.465936705,0.465936705,0.465936705
2013-01-17,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2013-01-17,0.0,0.0,0.0,0.0,0.0,,
2013-01-18,,,,,0.0,,,,,0.0,1.0,0.0,1.0,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-01-18,0.0,0.0,-0.5806569655,0.0,-0.5806569655,-0.5806569655,-0.5806569655
2013-01-19,,,,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2013-01-19,0.0,0.5,0.0,0.0,0.5,0.5,0.5
2013-01-20,,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,2,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2013-01-20,0.0,-0.55,0.47740873105,0.0,-0.07259126895,-0.07259126895,-0.036295634475
2013-01-21,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2013-01-21,0.0,0.0,0.0,0.0,0.0,,
2013-01-22,,,,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2013-01-22,0.0,0.505,0.0,0.0,0.505,0.505,0.505
2013-01-23,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2013-01-23,0.0,0.0,0.0,0.0,0.0,,
2013-01-24,,,,,0.0,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2013-01-24,0.0,-0.5455,0.0,0.0,-0.5455,-0.5455,-0.5455
2013-01-25,,,,,0.0,,,,,0.0,1.0,0.0,1.0,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2013-01-25,0.0,0.0,-0.570332142055,0.0,-0.570332142055,-0.570332142055,-0.570332142055
2013-01-26,,,,,0.0,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2013-01-26,0.0,-0.49095,0.0,0.0,-0.49095,-0.49095,-0.49095
2013-01-27,,,,,0.0,,,,,1.0,0.0,0.0,1.0,,,,,1,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2013-01-27,0.0,0.0,0.486701072151,0.0,0.486701072151,0.486701072151,0.486701072151
2013-01-28,,,,,0.0,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2013-01-28,0.0,-0.441855,0.0,0.0,-0.441855,-0.441855,-0.441855
2013-01-29,,,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,2,0.0,2.0,-2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2013-01-29,0.0,-0.3976695,-0.561969035065,0.0,-0.959638535065,-0.959638535065,-0.479819267532
2013-01-30,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2013-01-30,0.0,0.0,0.0,0.0,0.0,,
2013-01-31,,,,,0.0,,,,,0.0,1.0,0.0,1.0,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2013-01-31,0.0,0.0,-0.505772131558,0.0,-0.505772131558,-0.505772131558,-0.505772131558
2013-02-01,,,,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,2,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2013-02-01,0.0,0.64209745,0.544805081598,0.0,1.1869025316,1.1869025316,0.593451265799
2013-02-02,,,,,0.0,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2013-02-02,0.0,-0.422112295,0.0,0.0,-0.422112295,-0.422112295,-0.422112295
2013-02-03,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2013-02-03,0.0,0.0,0.0,0.0,0.0,,
2013-02-04,,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,2,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2013-02-04,0.0,0.6200989345,-0.509675426562,0.0,0.110423507938,0.110423507938,0.055211753969
2013-02-05,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2013-02-05,0.0,0.0,0.0,0.0,0.0,,
2013-02-06,,,,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,2,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2013-02-06,0.0,0.55808904105,0.541292116094,0.0,1.09938115714,1.09938115714,0.549690578572
2013-02-07,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2013-02-07,0.0,0.0,0.0,0.0,0.0,,
2013-02-08,,,,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2013-02-08,0.0,0.502280136945,0.0,0.0,0.502280136945,0.502280136945,0.502280136945
2013-02-09,,,,,0.0,,,,,1.0,0.0,0.0,1.0,,,,,1,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2013-02-09,0.0,0.0,0.487162904485,0.0,0.487162904485,0.487162904485,0.487162904485
2013-02-10,,,,,0.0,,,,,,,,,,,,,0,0.0,0.0,0.0,,,5.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2013-02-10,0.0,0.0,0.0,0.0,0.0,,
