,kings_wins,kings_losses,kings_ties,kings_num_events,kings_mask,temp,dodgers_wins,dodgers_losses,dodgers_ties,dodgers_num_events,dodgers_mask,angels_wins,angels_losses,angels_ties,angels_num_events,angels_mask,lakers_wins,lakers_losses,lakers_ties,lakers_num_events,lakers_mask,clippers_wins,clippers_losses,clippers_ties,clippers_num_events,clippers_mask,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,sum_streak,sum_loss_streak,kings_streak,kings_loss_streak,dodgers_streak,dodgers_loss_streak,angels_streak,angels_loss_streak,lakers_streak,lakers_loss_streak,clippers_streak,clippers_loss_streak,date,kings_pe,dodgers_pe,angels_pe,lakers_pe,clippers_pe,sum_pe,sum_pe_with_na,mean_pe
2012-01-01,,,,,0.0,0.0,,,,,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2012-01-01,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0
2012-01-02,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,0.0,,,,,1.0,,,,,1.0,1,0.0,1.0,-1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2012-01-02,-0.5,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.5
2012-01-03,,,,,1.0,0.0,,,,,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,1.0,1,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2012-01-03,0.0,0.0,0.0,0.55,0.0,0.55,0.55,0.55
2012-01-04,,,,,1.0,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2012-01-04,0.0,0.0,0.0,0.0,0.45,0.45,0.45,0.45
2012-01-05,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,1.0,2,1.0,1.0,0.0,0.5,0.5,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2012-01-05,0.55,0.0,0.0,-0.505,0.0,0.045,0.045,0.0225
2012-01-06,,,,,1.0,0.0,,,,,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,1.0,1,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2012-01-06,0.0,0.0,0.0,0.5455,0.0,0.5455,0.5455,0.5455
2012-01-07,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,0.0,1.0,1.0,2,1.0,1.0,0.0,0.5,0.5,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2012-01-07,-0.505,0.0,0.0,0.0,0.405,-0.1,-0.1,-0.05
2012-01-08,,,,,1.0,0.0,,,,,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,1.0,1,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2012-01-08,0.0,0.0,0.0,0.49095,0.0,0.49095,0.49095,0.49095
2012-01-09,1.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,0.0,,,,,1.0,,,,,1.0,1,1.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2012-01-09,0.5455,0.0,0.0,0.0,0.0,0.5455,0.5455,0.5455
2012-01-10,,,,,1.0,0.0,,,,,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2,1.0,1.0,0.0,0.5,0.5,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2012-01-10,0.0,0.0,0.0,0.441855,-0.6355,-0.193645,-0.193645,-0.0968225
2012-01-11,,,,,1.0,0.0,,,,,0.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2,2.0,0.0,2.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2012-01-11,0.0,0.0,0.0,0.3976695,0.42805,0.8257195,0.8257195,0.41285975
2012-01-12,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,,,,0.0,,,,,1.0,,,,,1.0,1,0.0,1.0,-1.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2012-01-12,-0.50905,0.0,0.0,0.0,0.0,-0.50905,-0.50905,-0.50905
