,kings_wins,kings_losses,kings_ties,kings_num_events,temp,dodgers_wins,dodgers_losses,dodgers_ties,dodgers_num_events,angels_wins,angels_losses,angels_ties,angels_num_events,lakers_wins,lakers_losses,lakers_ties,lakers_num_events,clippers_wins,clippers_losses,clippers_ties,clippers_num_events,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,sum_streak,sum_loss_streak,kings_streak,kings_loss_streak,dodgers_streak,dodgers_loss_streak,angels_streak,angels_loss_streak,lakers_streak,lakers_loss_streak,clippers_streak,clippers_loss_streak,date,kings_pe,dodgers_pe,angels_pe,lakers_pe,clippers_pe,sum_pe,sum_pe_with_na,mean_pe
2013-01-01,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2,0.0,2.0,-2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2013-01-01,0.0,0.0,0.0,-0.5,-0.5,-1.0,-1.0,-0.5
2013-01-02,,,,,0.0,,,,,,,,,,,,,0.0,1.0,0.0,1.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2013-01-02,0.0,0.0,0.0,0.0,-0.45,-0.45,-0.45,-0.45
2013-01-03,,,,,0.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2013-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-04,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2,1.0,1.0,0.0,0.5,0.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2013-01-04,0.0,0.0,0.0,-0.45,0.595,0.145,0.145,0.0725
2013-01-05,,,,,0.0,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2013-01-05,0.0,0.0,0.0,0.0,0.5355,0.5355,0.5355,0.5355
2013-01-06,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,1,0.0,1.0,-1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2013-01-06,0.0,0.0,0.0,-0.405,0.0,-0.405,-0.405,-0.405
2013-01-07,,,,,0.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2013-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-08,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,1,0.0,1.0,-1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2013-01-08,0.0,0.0,0.0,-0.3645,0.0,-0.3645,-0.3645,-0.3645
2013-01-09,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2,1.0,1.0,0.0,0.5,0.5,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2013-01-09,0.0,0.0,0.0,-0.32805,0.48195,0.1539,0.1539,0.07695
2013-01-10,,,,,0.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2013-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-11,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,1,0.0,1.0,-1.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2013-01-11,0.0,0.0,0.0,-0.295245,0.0,-0.295245,-0.295245,-0.295245
2013-01-12,,,,,0.0,,,,,,,,,,,,,0.0,1.0,0.0,1.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2013-01-12,0.0,0.0,0.0,0.0,-0.566245,-0.566245,-0.566245,-0.566245
2013-01-13,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,,,,,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2013-01-13,0.0,0.0,0.0,0.7342795,0.0,0.7342795,0.7342795,0.7342795
