date,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,rangers_mask,temp,islanders_wins,islanders_losses,islanders_num_events,islanders_ties,islanders_mask,devils_wins,devils_losses,devils_num_events,devils_ties,devils_mask,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,knicks_mask,mets_wins,mets_losses,mets_num_events,mets_ties,mets_mask,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,yankees_mask,giants_wins,giants_losses,giants_num_events,giants_ties,giants_mask,jets_wins,jets_losses,jets_num_events,jets_ties,jets_mask,nets_wins,nets_losses,nets_num_events,nets_ties,nets_mask,num_events,sum_wins,sum_losses,sports_composite,composite_mask,p_win,p_loss,rangers_pe,rangers_pe_with_na,islanders_pe,islanders_pe_with_na,devils_pe,devils_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,old_sum_pe,mean_pe
01/01/2012,,,,,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,
02/01/2012,1,0,1,0,1,0,,,,,0,0,1,1,0,1,0,1,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,1,2,-1,0,0.333333333,0.666666667,0.5,0.5,0,,-0.5,-0.5,-0.5,-0.5,0,,0,,0,,0,,0,,-0.5,-1,-0.5,-0.166666667
03/01/2012,,,,,1,0,1,0,1,0,1,,,,,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,1,0,1,0,1,0,0,,0.5,0.5,0,,0,,0,,0,,0,,0,,0,,0.5,0,0.5,0.5
04/01/2012,,,,,1,0,,,,,1,0,1,1,0,1,0,1,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,0,2,-2,0,0,1,0,,0,,-0.45,-0.45,-0.45,-0.45,0,,0,,0,,0,,0,,-0.9,-0.9,-0.9,-0.45
05/01/2012,1,0,1,0,1,0,,,,,1,,,,,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,1,0,1,0,1,0,0.45,0.45,0,,0,,0,,0,,0,,0,,0,,0,,0.45,0,0.45,0.45
06/01/2012,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,4,3,1,2,0,0.75,0.25,0.405,0.405,-0.55,-0.55,0.595,0.595,0.595,0.595,0,,0,,0,,0,,0,,1.045,1.19,1.045,0.26125
07/01/2012,,,,,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,2,1,1,0,0.666666667,0.333333333,0,,-0.495,-0.495,0.5355,0.5355,0.5355,0.5355,0,,0,,0,,0,,0,,0.576,1.071,0.576,0.192
08/01/2012,,,,,1,0,,,,,1,,,,,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,
09/01/2012,,,,,1,0,,,,,1,,,,,1,1,0,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,1,0,1,0,1,0,0,,0,,0,,0.48195,0.48195,0,,0,,0,,0,,0,,0.48195,0.48195,0.48195,0.48195
10/01/2012,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,2,1,1,0,0.666666667,0.333333333,0.3645,0.3645,0.5545,0.5545,-0.51805,-0.51805,0,,0,,0,,0,,0,,0,,0.40095,-0.51805,0.40095,0.13365
