,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,temp,islanders_wins,islanders_losses,islanders_num_events,islanders_ties,devils_wins,devils_losses,devils_num_events,devils_ties,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,mets_wins,mets_losses,mets_num_events,mets_ties,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,giants_wins,giants_losses,giants_num_events,giants_ties,jets_wins,jets_losses,jets_num_events,jets_ties,nets_wins,nets_losses,nets_num_events,nets_ties,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,rangers_pe,rangers_pe_with_na,islanders_pe,islanders_pe_with_na,devils_pe,devils_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,mean_pe
2013-01-01,,,,,0.0,,,,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,,0.0,,0.0,,-0.5,-0.5,0.0,,0.0,,0.0,,0.0,,0.0,,-0.5,-0.5,-0.5
2013-01-02,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.5,0.5,0.5,0.5,0.5
2013-01-03,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.55,0.55,0.0,,0.0,,0.0,,0.0,,0.0,,0.55,0.55,0.55
2013-01-04,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.45,0.45,0.45,0.45,0.45
2013-01-05,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,2,2.0,0.0,2.0,1.0,0.0,0.0,,0.0,,0.0,,0.495,0.495,0.0,,0.0,,0.0,,0.0,,0.405,0.405,0.9,0.9,0.45
2013-01-06,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,
2013-01-07,,,,,0.0,,,,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,,0.0,,0.0,,-0.5545,-0.5545,0.0,,0.0,,0.0,,0.0,,0.0,,-0.5545,-0.5545,-0.5545
2013-01-08,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.3645,0.3645,0.3645,0.3645,0.3645
2013-01-09,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,
2013-01-10,,,,,0.0,,,,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,,0.0,,0.0,,-0.49905,-0.49905,0.0,,0.0,,0.0,,0.0,,0.0,,-0.49905,-0.49905,-0.49905
2013-01-11,,,,,0.0,,,,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,2,1.0,1.0,0.0,0.5,0.5,0.0,,0.0,,0.0,,-0.449145,-0.449145,0.0,,0.0,,0.0,,0.0,,0.32805,0.32805,-0.121095,-0.121095,-0.0605475
2013-01-12,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,
2013-01-13,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,2,2.0,0.0,2.0,1.0,0.0,0.0,,0.0,,0.0,,0.5957695,0.5957695,0.0,,0.0,,0.0,,0.0,,0.295245,0.295245,0.8910145,0.8910145,0.44550725
2013-01-14,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,
2013-01-15,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.2657205,0.2657205,0.2657205,0.2657205,0.2657205
2013-01-16,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,1,0.0,1.0,-1.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,-0.76085155,-0.76085155,-0.76085155,-0.76085155,-0.76085155
2013-01-17,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.53619255,0.53619255,0.0,,0.0,,0.0,,0.0,,0.0,,0.53619255,0.53619255,0.53619255
2013-01-18,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.315233605,0.315233605,0.315233605,0.315233605,0.315233605
2013-01-19,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,2.0,-1.0,0.333333333333,0.666666666667,-0.5,-0.5,-0.5,-0.5,0.5,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,-0.5,-0.5,-0.166666666667
2013-01-20,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,-0.45,-0.45,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,-0.45,-0.45,-0.45
2013-01-21,,,,,0.0,1.0,0.0,1.0,0.0,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,3,2.0,1.0,1.0,0.666666666667,0.333333333333,0.0,,0.55,0.55,0.0,,-0.517426705,-0.517426705,0.0,,0.0,,0.0,,0.0,,0.2837102445,0.2837102445,0.3162835395,0.3162835395,0.1054278465
2013-01-22,,,,,0.0,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.45,0.45,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.45,0.45,0.45
