date,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,temp,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,mets_wins,mets_losses,mets_num_events,mets_ties,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,giants_wins,giants_losses,giants_num_events,giants_ties,jets_wins,jets_losses,jets_num_events,jets_ties,nets_wins,nets_losses,nets_num_events,nets_ties,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,rangers_pe,rangers_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,mean_pe
01/01/2013,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,0,,-0.5,-0.5,0,,0,,0,,0,,0,,-0.5,-0.5,-0.5
02/01/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,0,1,1,0,0,,0,,0,,0,,0,,0,,0.5,0.5,0.5,0.5,0.5
03/01/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,,0.55,0.55,0,,0,,0,,0,,0,,0.55,0.55,0.55
04/01/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,0,1,1,0,0,,0,,0,,0,,0,,0,,0.45,0.45,0.45,0.45,0.45
05/01/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,1,0,1,0,2,2,0,2,1,0,0,,0.495,0.495,0,,0,,0,,0,,0.405,0.405,0.9,0.9,0.45
06/01/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
07/01/2013,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,0,,-0.5545,-0.5545,0,,0,,0,,0,,0,,-0.5545,-0.5545,-0.5545
08/01/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,0,1,1,0,0,,0,,0,,0,,0,,0,,0.3645,0.3645,0.3645,0.3645,0.3645
09/01/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
10/01/2013,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,0,,-0.49905,-0.49905,0,,0,,0,,0,,0,,-0.49905,-0.49905,-0.49905
11/01/2013,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,1,0,1,0,2,1,1,0,0.5,0.5,0,,-0.449145,-0.449145,0,,0,,0,,0,,0.32805,0.32805,-0.121095,-0.121095,-0.0605475
12/01/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
13/01/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,1,0,1,0,2,2,0,2,1,0,0,,0.5957695,0.5957695,0,,0,,0,,0,,0.295245,0.295245,0.8910145,0.8910145,0.44550725
14/01/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
15/01/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,0,1,1,0,0,,0,,0,,0,,0,,0,,0.2657205,0.2657205,0.2657205,0.2657205,0.2657205
16/01/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,1,-1,0,1,0,,0,,0,,0,,0,,0,,-0.76085155,-0.76085155,-0.76085155,-0.76085155,-0.76085155
17/01/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,,0.53619255,0.53619255,0,,0,,0,,0,,0,,0.53619255,0.53619255,0.53619255
18/01/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,0,1,1,0,0,,0,,0,,0,,0,,0,,0.315233605,0.315233605,0.315233605,0.315233605,0.315233605
19/01/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,-0.5,-0.5,0,,0,,0,,0,,0,,0,,-0.5,-0.5,-0.5
20/01/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,-0.45,-0.45,0,,0,,0,,0,,0,,0,,-0.45,-0.45,-0.45
21/01/2013,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,1,0,1,0,2,1,1,0,0.5,0.5,0,,-0.517426705,-0.517426705,0,,0,,0,,0,,0.283710245,0.283710245,-0.233716461,-0.233716461,-0.11685823
22/01/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
23/01/2013,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,2,0,2,1,0,0.595,0.595,0,,0,,0,,0,,0,,0.25533922,0.25533922,0.85033922,0.85033922,0.42516961
