,giants_wins,giants_losses,giants_ties,giants_num_events,giants_mask,temp,sharks_wins,sharks_losses,sharks_ties,sharks_num_events,sharks_mask,raiders_wins,raiders_losses,raiders_ties,raiders_num_events,raiders_mask,warriors_wins,warriors_losses,warriors_ties,warriors_num_events,warriors_mask,49ers_wins,49ers_losses,49ers_ties,49ers_num_events,49ers_mask,athletics_wins,athletics_losses,athletics_ties,athletics_num_events,athletics_mask,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,sum_streak,sum_loss_streak,giants_streak,giants_loss_streak,sharks_streak,sharks_loss_streak,raiders_streak,raiders_loss_streak,warriors_streak,warriors_loss_streak,49ers_streak,49ers_loss_streak,athletics_streak,athletics_loss_streak,date,giants_pe,sharks_pe,raiders_pe,warriors_pe,49ers_pe,athletics_pe,sum_pe,sum_pe_with_na,mean_pe
2012-01-01,,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2012-01-02,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,,,,,0.0,2,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2012-01-02,0.0,0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
2012-01-03,,,,,0.0,0.0,,,,,1.0,,,,,0.0,,,,,1.0,,,,,0.0,,,,,0.0,0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2012-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2012-01-04,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,,,,,0.0,2,1.0,1.0,0.0,0.5,0.5,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2012-01-04,0.0,0.45,0.0,-0.45,0.0,0.0,-5.55111512313e-17,-5.55111512313e-17,-2.77555756156e-17
2012-01-05,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,,,,,1.0,,,,,0.0,,,,,0.0,1,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2012-01-05,0.0,0.405,0.0,0.0,0.0,0.0,0.405,0.405,0.405
2012-01-06,,,,,0.0,0.0,,,,,1.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,,,,,0.0,1,0.0,1.0,-1.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2012-01-06,0.0,0.0,0.0,-0.405,0.0,0.0,-0.405,-0.405,-0.405
2012-01-07,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,,,,,0.0,2,1.0,1.0,0.0,0.5,0.5,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2012-01-07,0.0,0.3645,0.0,-0.3645,0.0,0.0,-1.11022302463e-16,-1.11022302463e-16,-5.55111512313e-17
2012-01-08,,,,,0.0,0.0,,,,,1.0,,,,,0.0,,,,,1.0,,,,,0.0,,,,,0.0,0,0.0,0.0,0.0,,,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2012-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2012-01-09,,,,,0.0,0.0,,,,,1.0,,,,,0.0,,,,,1.0,,,,,0.0,,,,,0.0,0,0.0,0.0,0.0,,,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2012-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2012-01-10,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.0,,,,,0.0,2,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2012-01-10,0.0,-0.67195,0.0,0.67195,0.0,0.0,-1.11022302463e-16,-1.11022302463e-16,-5.55111512313e-17
